order_id,order_date,customer_name,city,category,product_id,sales,profit
CA-2018-101931,10/28/2018,Todd Sumrall,Los Angeles,Furniture,FUR-BO-10001337,616.998,-36.294
CA-2018-102008,9/30/2018,Russell Applegate,New York City,Office Supplies,OFF-PA-10004092,48.94,24.47
CA-2018-102085,10/4/2018,Joy Daniels,Seattle,Office Supplies,OFF-LA-10002475,29.24,13.7428
CA-2018-102274,11/21/2018,Dave Hallsten,Richmond,Office Supplies,OFF-AR-10002833,5.46,1.4742
CA-2018-102295,11/24/2018,Erica Hackney,Sacramento,Furniture,FUR-CH-10001714,120.712,-18.1068
CA-2018-102330,12/29/2018,Arianne Irving,Brentwood,Office Supplies,OFF-LA-10003923,88.8,44.4
CA-2018-102645,1/23/2018,Ionia McGrath,Las Vegas,Office Supplies,OFF-PA-10001804,40.08,19.2384
CA-2018-102652,4/6/2018,Andy Yotov,Los Angeles,Furniture,FUR-FU-10000747,91.96,15.6332
CA-2018-102673,11/1/2018,Ken Heidel,Charlotte,Office Supplies,OFF-AR-10000634,10.272,0.8988
CA-2018-102869,9/9/2018,Logan Currie,Philadelphia,Furniture,FUR-FU-10002456,17.472,5.0232
CA-2018-102988,4/5/2018,Greg Maxwell,Alexandria,Office Supplies,OFF-AR-10000127,22.96,6.6584
CA-2018-103058,7/23/2018,Alejandro Grove,New York City,Technology,TEC-AC-10001314,99.98,7.9984
CA-2018-103086,10/17/2018,Evan Bailliet,Houston,Furniture,FUR-FU-10004586,5.312,-1.5936
CA-2018-103100,12/20/2018,Adrian Barton,Indianapolis,Office Supplies,OFF-BI-10004600,1103.97,496.7865
CA-2018-103191,9/22/2018,Vivek Grady,Chicago,Office Supplies,OFF-ST-10002574,331.536,-82.884
CA-2018-103219,11/9/2018,Benjamin Farhat,New York City,Furniture,FUR-FU-10004091,56.52,21.4776
CA-2018-103310,5/10/2018,Greg Matthias,San Jose,Furniture,FUR-CH-10002320,256.784,32.098
CA-2018-103317,7/5/2018,Don Miller,Palm Coast,Furniture,FUR-FU-10001591,19.52,5.368
CA-2018-103331,8/26/2018,Karl Braun,Newark,Furniture,FUR-FU-10001731,10.68,4.0584
CA-2018-103366,1/15/2018,Erica Hackney,Roswell,Technology,TEC-AC-10003628,149.95,65.978
CA-2018-103373,5/18/2018,Bruce Stewart,Cleveland,Technology,TEC-PH-10002885,779.796,-168.9558
CA-2018-103401,11/21/2018,Georgia Rosenberg,San Francisco,Office Supplies,OFF-PA-10003309,12.96,6.2208
CA-2018-103429,5/30/2018,Laurel Workman,New York City,Office Supplies,OFF-AP-10001005,235.95,77.8635
CA-2018-103492,10/10/2018,Craig Molinari,Huntsville,Office Supplies,OFF-BI-10004140,0.898,-1.5715
CA-2018-103527,9/9/2018,Chris Cortes,Chicago,Office Supplies,OFF-PA-10001622,10.896,3.405
CA-2018-103590,11/30/2018,Jeremy Lonsdale,Mount Vernon,Office Supplies,OFF-EN-10004007,62.28,29.2716
CA-2018-103660,8/25/2018,Mitch Webber,Seattle,Technology,TEC-PH-10000895,1007.944,75.5958
CA-2018-103702,9/12/2018,Art Foster,Fairfield,Office Supplies,OFF-BI-10002429,63.924,-46.8776
CA-2018-103744,2/23/2018,Michael Grace,El Paso,Office Supplies,OFF-BI-10000320,4.428,-6.8634
CA-2018-103800,1/3/2018,Darren Powers,Houston,Office Supplies,OFF-PA-10000174,16.448,5.5512
CA-2018-103807,12/2/2018,Elizabeth Moffitt,Sandy Springs,Office Supplies,OFF-PA-10002195,15.24,7.1628
CA-2018-103849,5/11/2018,Paul Gonzalez,Fort Worth,Furniture,FUR-FU-10000723,66.112,-84.2928
CA-2018-103940,9/17/2018,Bradley Nguyen,Seattle,Furniture,FUR-FU-10004671,35.34,13.4292
CA-2018-103989,3/19/2018,Matt Connell,Lakeland,Furniture,FUR-FU-10002508,20.016,5.5044
CA-2018-104178,8/25/2018,Janet Molinari,Los Angeles,Furniture,FUR-FU-10000771,6.28,2.6376
CA-2018-104269,3/1/2018,Dave Brooks,Seattle,Furniture,FUR-CH-10004063,457.568,51.4764
CA-2018-104283,6/27/2018,Liz MacKendrick,Southaven,Furniture,FUR-TA-10001039,85.98,22.3548
CA-2018-104402,6/17/2018,Duane Benoit,Newark,Technology,TEC-MA-10000423,65.97,31.0059
CA-2018-104472,6/2/2018,Christine Kargatis,Orem,Furniture,FUR-FU-10000246,73.32,21.996
CA-2018-104563,3/7/2018,Craig Molinari,Seattle,Furniture,FUR-CH-10002780,436.704,21.8352
CA-2018-104738,12/30/2018,Stefania Perrino,Laredo,Office Supplies,OFF-BI-10002160,2.286,-3.6576
CA-2018-104773,12/8/2018,Thomas Boland,Houston,Office Supplies,OFF-ST-10000777,60.416,6.0416
CA-2018-104780,5/21/2018,Bradley Talbott,San Diego,Office Supplies,OFF-AR-10003514,31.84,10.5072
CA-2018-104808,2/4/2018,Mark Haberlin,Escondido,Office Supplies,OFF-BI-10003676,17.248,6.0368
CA-2018-104829,11/18/2018,John Grady,Provo,Office Supplies,OFF-PA-10003016,21.98,9.891
CA-2018-104976,12/9/2018,Cyma Kinney,San Francisco,Office Supplies,OFF-PA-10003845,34.68,16.9932
CA-2018-105165,9/7/2018,Sam Zeldin,Houston,Furniture,FUR-TA-10004154,200.795,-22.948
CA-2018-105172,4/4/2018,Paul Knutson,San Francisco,Office Supplies,OFF-LA-10001641,18.9,9.072
CA-2018-105249,11/28/2018,Duane Huffman,San Francisco,Furniture,FUR-BO-10000330,411.332,-4.8392
CA-2018-105270,11/11/2018,Arthur Prichep,Los Angeles,Furniture,FUR-CH-10000988,112.648,11.2648
CA-2018-105340,11/22/2018,Evan Henry,Pasadena,Office Supplies,OFF-BI-10001765,6.928,-11.0848
CA-2018-105417,1/7/2018,Vivek Sundaresam,Huntsville,Furniture,FUR-FU-10004864,76.728,-53.7096
CA-2018-105648,3/3/2018,Eva Jacobs,San Diego,Furniture,FUR-TA-10002958,626.352,-23.4882
CA-2018-105872,5/30/2018,James Galang,New York City,Office Supplies,OFF-BI-10003684,70.368,26.388
CA-2018-105893,11/11/2018,Pete Kriz,Madison,Office Supplies,OFF-ST-10004186,665.88,13.3176
CA-2018-105984,11/24/2018,Muhammed Yedwab,Columbus,Furniture,FUR-CH-10000847,611.058,-34.9176
CA-2018-106054,1/6/2018,Jack O'Briant,Athens,Office Supplies,OFF-AR-10002399,12.78,5.2398
CA-2018-106229,6/7/2018,Nick Radford,Aurora,Furniture,FUR-TA-10002041,268.935,-209.7693
CA-2018-106264,12/26/2018,Clytie Kelty,San Diego,Furniture,FUR-FU-10001852,3.48,1.1136
CA-2018-106376,12/5/2018,Brendan Sweed,Gilbert,Office Supplies,OFF-AR-10002671,1113.024,111.3024
CA-2018-106439,10/31/2018,Greg Guthrie,Los Angeles,Furniture,FUR-CH-10003833,146.352,-9.147
CA-2018-106572,9/5/2018,Nora Preis,Bowling Green,Office Supplies,OFF-ST-10000585,264.32,19.824
CA-2018-106719,8/24/2018,Robert Barroso,Billings,Office Supplies,OFF-BI-10002799,8.288,2.6936
CA-2018-106726,12/6/2018,Roland Schwarz,Los Angeles,Office Supplies,OFF-ST-10001496,1261.33,327.9458
CA-2018-106803,12/29/2018,Debra Catini,Cottage Grove,Office Supplies,OFF-ST-10002444,24.56,6.8768
CA-2018-106810,5/14/2018,Anthony Johnson,Saint Petersburg,Furniture,FUR-FU-10004306,310.88,23.316
CA-2018-106971,9/2/2018,Bryan Mills,Buffalo Grove,Technology,TEC-AC-10000844,475.944,95.1888
CA-2018-107139,7/5/2018,Dennis Pardue,Los Angeles,Office Supplies,OFF-BI-10001670,180.96,67.86
CA-2018-107153,9/28/2018,George Zrebassa,Lawrence,Office Supplies,OFF-ST-10001321,46.26,12.4902
CA-2018-107181,2/4/2018,Deborah Brumfield,San Diego,Office Supplies,OFF-BI-10004230,82.896,29.0136
CA-2018-107398,8/25/2018,Brendan Sweed,Columbus,Office Supplies,OFF-BI-10001982,6.528,-4.5696
CA-2018-107454,11/2/2018,Roger Demir,New York City,Furniture,FUR-FU-10004018,89.34,24.1218
CA-2018-107524,3/2/2018,Kristina Nunn,New York City,Office Supplies,OFF-EN-10001990,11.36,5.3392
CA-2018-107573,12/12/2018,Philip Brown,Miami,Office Supplies,OFF-EN-10001099,23.472,7.6284
CA-2018-107594,7/2/2018,Eric Hoffmann,Plainfield,Office Supplies,OFF-AR-10000716,5.58,2.1762
CA-2018-107706,2/14/2018,Shui Tom,Houston,Office Supplies,OFF-PA-10000466,16.176,6.066
CA-2018-107755,2/7/2018,Cyma Kinney,Linden,Technology,TEC-AC-10000710,115.36,49.6048
CA-2018-107769,10/28/2018,Bill Tyler,Garden City,Technology,TEC-PH-10001336,257.98,74.8142
CA-2018-107811,4/29/2018,Laura Armstrong,Memphis,Furniture,FUR-CH-10001394,561.584,70.198
CA-2018-107818,9/8/2018,Marc Crier,Pasco,Furniture,FUR-CH-10000454,975.92,121.99
CA-2018-107916,8/24/2018,Jennifer Patt,Oceanside,Furniture,FUR-FU-10004586,13.28,6.3744
CA-2018-108147,6/8/2018,Rick Duston,Long Beach,Office Supplies,OFF-BI-10003876,68.48,25.68
CA-2018-108182,2/6/2018,Delfina Latchford,Romeoville,Office Supplies,OFF-BI-10001196,8.952,-14.7708
CA-2018-108189,10/2/2018,Erin Smith,Tempe,Office Supplies,OFF-EN-10004846,12.768,4.6284
CA-2018-108273,12/16/2018,Ed Jacobs,Huntsville,Furniture,FUR-FU-10002116,56.568,-74.9526
CA-2018-108609,10/31/2018,Anthony Jacobs,Lorain,Furniture,FUR-TA-10003954,1421.664,-734.5264
CA-2018-108707,10/24/2018,Daniel Byrd,Fort Lauderdale,Office Supplies,OFF-PA-10000788,10.368,3.6288
CA-2018-108861,5/28/2018,Magdelene Morse,Seattle,Office Supplies,OFF-BI-10003876,136.96,51.36
CA-2018-108903,10/3/2018,Denny Ordway,Columbus,Office Supplies,OFF-AR-10004010,55.984,4.1988
CA-2018-109043,8/15/2018,Christine Sundaresam,Hollywood,Office Supplies,OFF-AP-10004708,152.24,17.127
CA-2018-109127,12/21/2018,John Castell,Newark,Office Supplies,OFF-LA-10004409,17.28,7.9488
CA-2018-109134,11/5/2018,Deanra Eno,Los Angeles,Furniture,FUR-FU-10000320,20.04,8.8176
CA-2018-109218,6/30/2018,Anthony Rawles,Los Angeles,Office Supplies,OFF-AR-10001374,32.4,10.368
CA-2018-109232,1/13/2018,Natalie DeCherney,Mount Pleasant,Furniture,FUR-CH-10000422,545.94,87.3504
CA-2018-109302,8/12/2018,Charles Sheldon,Lakewood,Office Supplies,OFF-BI-10002854,196.21,98.105
CA-2018-109491,2/20/2018,Linda Cazamias,Richmond,Furniture,FUR-FU-10000221,20.32,6.9088
CA-2018-109680,10/6/2018,Victoria Pisteka,Indianapolis,Office Supplies,OFF-ST-10001932,386.34,54.0876
CA-2018-109855,9/1/2018,Lena Hernandez,New York City,Office Supplies,OFF-BI-10004716,23.744,8.3104
CA-2018-109890,7/21/2018,Patrick Gardner,Omaha,Technology,TEC-PH-10004100,35.98,10.0744
CA-2018-109897,8/12/2018,Ben Wallace,San Francisco,Furniture,FUR-FU-10002878,85.44,31.6128
CA-2018-109904,7/14/2018,Barbara Fisher,New York City,Office Supplies,OFF-AR-10004999,17.94,4.485
CA-2018-109918,9/7/2018,Lisa Ryan,Santa Clara,Office Supplies,OFF-BI-10004308,83.92,31.47
CA-2018-109932,12/9/2018,Victoria Pisteka,Brownsville,Office Supplies,OFF-PA-10001804,10.688,3.7408
CA-2018-110030,12/6/2018,Luke Foster,Houston,Furniture,FUR-FU-10002759,23.976,-14.3856
CA-2018-110065,8/5/2018,Stephanie Phelps,New York City,Office Supplies,OFF-AR-10004165,15.96,7.0224
CA-2018-110072,10/22/2018,Maureen Gastineau,Newark,Furniture,FUR-FU-10000521,93.888,12.9096
CA-2018-110100,4/25/2018,Lena Creighton,Wilmington,Technology,TEC-PH-10004531,302.376,37.797
CA-2018-110184,7/12/2018,Ben Ferrer,Los Angeles,Office Supplies,OFF-ST-10000107,249.75,44.955
CA-2018-110219,5/5/2018,Emily Burns,San Antonio,Furniture,FUR-CH-10001146,127.869,-9.1335
CA-2018-110352,11/23/2018,Emily Ducich,Houston,Office Supplies,OFF-LA-10003923,23.68,8.88
CA-2018-110408,10/18/2018,Alan Schoenberger,Montgomery,Furniture,FUR-CH-10003774,545.88,70.9644
CA-2018-110422,1/21/2018,Tom Boeckenhauer,Miami,Furniture,FUR-FU-10001889,25.248,4.1028
CA-2018-110527,8/9/2018,Emily Ducich,San Diego,Office Supplies,OFF-LA-10000262,20.88,9.6048
CA-2018-110555,4/11/2018,Michelle Moray,Great Falls,Office Supplies,OFF-ST-10000876,87.08,24.3824
CA-2018-110611,10/6/2018,Joy Daniels,Philadelphia,Office Supplies,OFF-ST-10000642,83.92,-13.637
CA-2018-110639,8/23/2018,Rick Hansen,New York City,Office Supplies,OFF-PA-10003936,25.92,12.4416
CA-2018-110786,12/29/2018,Anthony Johnson,San Francisco,Furniture,FUR-FU-10000550,24.9,8.217
CA-2018-110849,4/18/2018,John Lee,Los Angeles,Office Supplies,OFF-AR-10000657,10.75,3.5475
CA-2018-111003,6/1/2018,Corey Roper,Lakewood,Office Supplies,OFF-AR-10002135,289.2,83.868
CA-2018-111059,2/3/2018,Tom Boeckenhauer,Seattle,Office Supplies,OFF-BI-10002827,13.272,4.3134
CA-2018-111150,12/31/2018,Rob Williams,Columbia,Office Supplies,OFF-AR-10000034,29.68,11.5752
CA-2018-111157,3/2/2018,Nicole Hansen,Philadelphia,Office Supplies,OFF-PA-10000327,3.424,1.07
CA-2018-111192,7/30/2018,Tom Stivers,Seattle,Furniture,FUR-BO-10002916,1367.84,259.8896
CA-2018-111360,11/24/2018,Alyssa Tate,Akron,Office Supplies,OFF-BI-10003350,5.742,-4.5936
CA-2018-111451,12/26/2018,Kelly Lampkin,Colorado Springs,Furniture,FUR-CH-10001891,230.352,20.1558
CA-2018-111500,8/17/2018,Don Jones,Little Rock,Office Supplies,OFF-BI-10000829,17.96,8.2616
CA-2018-111773,6/29/2018,Jim Karlsson,New York City,Office Supplies,OFF-BI-10000174,13.92,4.872
CA-2018-111857,4/23/2018,Nathan Mautz,San Francisco,Office Supplies,OFF-PA-10001878,48.91,22.9877
CA-2018-111871,3/18/2018,Eileen Kiefer,San Francisco,Furniture,FUR-BO-10004218,1198.33,70.49
CA-2018-111899,5/4/2018,Nat Carroll,Houston,Office Supplies,OFF-AR-10001725,37.84,2.838
CA-2018-111934,5/5/2018,Giulietta Dortch,Arlington,Office Supplies,OFF-BI-10004364,11.88,5.346
CA-2018-111962,9/29/2018,Evan Bailliet,Seattle,Office Supplies,OFF-BI-10001308,10.048,3.14
CA-2018-112158,12/2/2018,David Philippe,New York City,Furniture,FUR-BO-10003272,883.92,-110.49
CA-2018-112291,4/3/2018,Katrina Edelman,Los Angeles,Office Supplies,OFF-EN-10001415,11.16,5.58
CA-2018-112326,1/4/2018,Phillina Ober,Naperville,Office Supplies,OFF-BI-10004094,3.54,-5.487
CA-2018-112403,3/31/2018,Jas O'Carroll,Philadelphia,Office Supplies,OFF-BI-10003529,0.852,-0.5964
CA-2018-112718,12/16/2018,Kean Nguyen,Jacksonville,Office Supplies,OFF-BI-10000591,1.167,-0.8558
CA-2018-112837,9/11/2018,Liz Willingham,Oxnard,Furniture,FUR-FU-10004006,127.95,21.7515
CA-2018-112851,9/17/2018,Nick Radford,Chula Vista,Office Supplies,OFF-EN-10001453,182.94,85.9818
CA-2018-113047,10/24/2018,Arthur Prichep,Rock Hill,Office Supplies,OFF-FA-10002763,11.85,3.792
CA-2018-113166,12/24/2018,Luke Foster,Miami,Office Supplies,OFF-PA-10001947,9.568,3.4684
CA-2018-113257,12/16/2018,Sean Christensen,Beaumont,Furniture,FUR-FU-10001706,8.624,-2.5872
CA-2018-113271,7/9/2018,Darrin Sayre,San Francisco,Furniture,FUR-BO-10004218,119.833,7.049
CA-2018-113320,12/12/2018,Logan Haushalter,Oakland,Furniture,FUR-FU-10001706,9.24,4.4352
CA-2018-113362,9/14/2018,Astrea Jones,Rochester,Office Supplies,OFF-EN-10003845,11.07,5.0922
CA-2018-113383,9/10/2018,Sandra Flanagan,Clifton,Furniture,FUR-FU-10001986,254.9,76.47
CA-2018-113579,12/13/2018,Katherine Ducich,Los Angeles,Office Supplies,OFF-PA-10001457,90.24,41.5104
CA-2018-113768,5/13/2018,Aaron Hawkins,Los Angeles,Furniture,FUR-CH-10002439,279.456,20.9592
CA-2018-113859,9/13/2018,Becky Castell,Odessa,Furniture,FUR-CH-10004698,340.116,-9.7176
CA-2018-113880,3/1/2018,Vicky Freymann,Elmhurst,Furniture,FUR-CH-10000863,634.116,-172.1172
CA-2018-113887,4/5/2018,Tracy Hopkins,New York City,Office Supplies,OFF-PA-10004071,55.48,26.6304
CA-2018-113929,6/16/2018,Chloris Kastensmidt,Hempstead,Office Supplies,OFF-AR-10003772,35,10.5
CA-2018-113964,9/23/2018,Julie Prescott,New York City,Office Supplies,OFF-BI-10004654,18.464,6.924
CA-2018-114125,7/9/2018,Gary Hansen,Los Angeles,Office Supplies,OFF-BI-10003291,41.904,14.1426
CA-2018-114181,5/10/2018,Art Foster,Philadelphia,Furniture,FUR-BO-10004467,349.965,-216.9783
CA-2018-114195,11/1/2018,Erin Ashbrook,Mason,Furniture,FUR-FU-10002253,68.704,16.3172
CA-2018-114251,11/5/2018,Maribeth Dona,Philadelphia,Furniture,FUR-FU-10001468,273.568,-34.196
CA-2018-114314,10/11/2018,Dorothy Badders,Fayetteville,Furniture,FUR-FU-10002107,8.92,3.9248
CA-2018-114321,8/20/2018,Nick Crebassa,Hampton,Furniture,FUR-CH-10001797,500.24,145.0696
CA-2018-114335,9/28/2018,Xylona Preis,Hollywood,Furniture,FUR-FU-10000277,337.088,16.8544
CA-2018-114433,5/13/2018,Naresj Patel,Oakland,Technology,TEC-AC-10002800,149.97,52.4895
CA-2018-114510,3/14/2018,Jason Fortune-,Logan,Office Supplies,OFF-BI-10001617,33.088,11.1672
CA-2018-114517,12/23/2018,Tiffany House,New York City,Furniture,FUR-TA-10001676,53.316,-19.5492
CA-2018-114643,6/13/2018,Filia McAdams,Los Angeles,Office Supplies,OFF-AR-10003631,14.52,4.7916
CA-2018-114790,3/11/2018,Filia McAdams,Richmond,Office Supplies,OFF-AP-10002578,146.76,38.1576
CA-2018-115049,9/26/2018,Michael Moore,Chicago,Technology,TEC-AC-10004859,153.824,38.456
CA-2018-115056,5/2/2018,Andrew Roberts,Columbus,Office Supplies,OFF-AP-10003971,26.136,1.9602
CA-2018-115084,10/18/2018,Luke Schmidt,Texarkana,Furniture,FUR-CH-10004626,605.34,145.2816
CA-2018-115133,9/26/2018,Dianna Arnett,Lancaster,Office Supplies,OFF-AP-10001634,16.704,1.2528
CA-2018-115161,1/31/2018,Liz Carlisle,Mission Viejo,Furniture,FUR-BO-10003966,290.666,3.4196
CA-2018-115259,8/25/2018,Ryan Crowe,Columbus,Office Supplies,OFF-EN-10002504,130.464,44.0316
CA-2018-115336,11/18/2018,Ann Blume,Chicago,Office Supplies,OFF-BI-10001107,14.48,-23.892
CA-2018-115357,8/6/2018,Roland Fjeld,Columbia,Technology,TEC-AC-10000023,62.91,22.6476
CA-2018-115791,1/16/2018,Delfina Latchford,Philadelphia,Furniture,FUR-FU-10001095,127.104,28.5984
CA-2018-115812,6/9/2018,Brosina Hoffman,Los Angeles,Furniture,FUR-FU-10001487,48.86,14.1694
CA-2018-115889,11/2/2018,Shahid Hopkins,San Francisco,Office Supplies,OFF-ST-10003208,362.92,105.2468
CA-2018-115973,11/24/2018,Nathan Gelder,Cincinnati,Office Supplies,OFF-AR-10004757,2.624,0.4264
CA-2018-115980,7/15/2018,Victoria Wilson,Sioux Falls,Office Supplies,OFF-FA-10000304,6.54,2.6814
CA-2018-116190,7/26/2018,Sheri Gordon,Atlanta,Furniture,FUR-CH-10000553,67.88,18.3276
CA-2018-116239,3/4/2018,Clay Ludtke,Columbia,Office Supplies,OFF-ST-10001370,354.9,17.745
CA-2018-116246,9/12/2018,Luke Weiss,New York City,Furniture,FUR-CH-10002024,3785.292,420.588
CA-2018-116407,11/15/2018,Jamie Frazer,Johnson City,Office Supplies,OFF-AP-10002118,333.056,29.1424
CA-2018-116568,12/14/2018,Bryan Mills,Deltona,Furniture,FUR-CH-10002439,186.304,13.9728
CA-2018-116666,5/8/2018,Kean Thornton,Philadelphia,Technology,TEC-CO-10001449,1799.97,239.996
CA-2018-116673,12/15/2018,Jas O'Carroll,San Diego,Furniture,FUR-FU-10003829,6.16,1.9712
CA-2018-116757,6/30/2018,Michael Stewart,Houston,Office Supplies,OFF-FA-10002815,21.312,7.1928
CA-2018-116785,4/26/2018,Marc Harrigan,Los Angeles,Office Supplies,OFF-AR-10003504,21.4,6.206
CA-2018-116834,10/11/2018,Dean percer,Seattle,Furniture,FUR-FU-10001196,63.47,19.041
CA-2018-116904,9/23/2018,Sanjit Chand,Minneapolis,Office Supplies,OFF-BI-10000301,12.94,6.47
CA-2018-116932,7/21/2018,Michelle Ellison,San Francisco,Furniture,FUR-CH-10001215,801.568,50.098
CA-2018-117016,3/4/2018,Sanjit Chand,Margate,Office Supplies,OFF-AR-10001374,15.552,2.3328
CA-2018-117317,10/19/2018,Jeremy Farry,Los Angeles,Office Supplies,OFF-PA-10004519,13.44,6.5856
CA-2018-117345,8/1/2018,Barbara Fisher,Charlotte,Furniture,FUR-FU-10000629,44.128,12.1352
CA-2018-117429,10/7/2018,Mathew Reese,Philadelphia,Furniture,FUR-FU-10000222,129.92,21.112
CA-2018-117464,7/22/2018,Naresj Patel,San Francisco,Furniture,FUR-CH-10000155,717.72,71.772
CA-2018-117478,9/21/2018,Larry Hughes,Philadelphia,Office Supplies,OFF-BI-10000050,6.57,-5.037
CA-2018-117639,5/21/2018,Mitch Willingham,Virginia Beach,Office Supplies,OFF-BI-10003925,2715.93,1276.4871
CA-2018-117709,5/4/2018,Paul MacIntyre,Jackson,Office Supplies,OFF-BI-10001294,46.8,21.06
CA-2018-117765,9/7/2018,Rick Bensley,Tulsa,Furniture,FUR-CH-10004698,161.96,45.3488
CA-2018-118192,1/13/2018,Michael Moore,Newark,Office Supplies,OFF-BI-10003476,3.438,-2.5212
CA-2018-118276,12/29/2018,Michael Granlund,Saint Charles,Furniture,FUR-FU-10002111,8.736,-4.8048
CA-2018-118304,4/29/2018,Katherine Hughes,Dover,Technology,TEC-PH-10000376,19.98,5.1948
CA-2018-118339,3/17/2018,Bradley Nguyen,Lakeville,Office Supplies,OFF-AP-10001154,93.78,36.5742
CA-2018-118962,8/5/2018,Chad Sievert,Los Angeles,Furniture,FUR-CH-10003817,340.144,21.259
CA-2018-118976,4/28/2018,Muhammed Yedwab,Baltimore,Office Supplies,OFF-AR-10004752,5.34,1.4952
CA-2018-119032,11/27/2018,Maxwell Schwartz,New York City,Office Supplies,OFF-FA-10003021,3.76,1.316
CA-2018-119144,11/16/2018,Justin Deggeller,Los Angeles,Furniture,FUR-BO-10004015,305.9745,25.1979
CA-2018-119151,11/25/2018,Mike Pelletier,New York City,Furniture,FUR-BO-10003159,275.952,-37.9434
CA-2018-119172,5/11/2018,Harold Dahlen,Chicago,Office Supplies,OFF-BI-10002026,104.58,-172.557
CA-2018-119375,11/17/2018,Yoseph Carroll,Newark,Furniture,FUR-FU-10002379,124.41,14.9292
CA-2018-119466,12/15/2018,Sung Pak,Chicago,Furniture,FUR-FU-10001546,8.544,-7.476
CA-2018-119529,11/3/2018,Denise Monton,Orange,Office Supplies,OFF-BI-10000546,5.76,2.8224
CA-2018-119977,10/8/2018,Duane Noonan,New York City,Office Supplies,OFF-PA-10003823,123.92,55.764
CA-2018-120096,7/4/2018,Katrina Edelman,Aurora,Office Supplies,OFF-AP-10000692,32.432,3.2432
CA-2018-120243,12/27/2018,Alyssa Tate,Los Angeles,Office Supplies,OFF-LA-10004425,11.56,5.4332
CA-2018-120278,11/7/2018,Maribeth Schnelling,Wausau,Office Supplies,OFF-AP-10001293,245.88,68.8464
CA-2018-120411,9/20/2018,Sarah Brown,Chicago,Furniture,FUR-BO-10004218,493.43,-70.49
CA-2018-120432,8/24/2018,Dorothy Wardle,Owensboro,Office Supplies,OFF-SU-10004661,25.5,6.63
